,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
387,krasnokholmskiy,27,RU,1577607687,85,12.43,55.99,55.05,12.75
388,saint-francois,90,FR,1577607688,88,35.01,46.42,3.91,9.17
389,kandrian,53,PG,1577607688,88,76.84,-6.21,149.55,1.25
390,vardo,1,US,1577607688,80,46.99,39.62,-77.74,4.7
391,bud,100,NO,1577607688,87,50.0,62.91,6.91,2.24
392,chateaubelair,20,VC,1577607689,78,78.8,13.28,-61.25,17.22
393,kizilskoye,100,RU,1577607689,91,10.67,52.73,58.89,12.73
394,varnavino,72,RU,1577607690,90,6.19,61.19,46.56,2.86
395,golynki,100,RU,1577607690,78,26.44,54.87,31.38,5.21
396,paveh,20,IR,1577607690,60,42.8,35.05,46.36,2.24
397,lata,41,IN,1577607691,54,28.44,30.78,78.62,4.9
398,phalodi,0,IN,1577607691,13,66.74,27.13,72.36,6.49
399,te anau,78,NZ,1577607691,95,52.7,-45.41,167.72,7.34
400,caravelas,2,BR,1577607691,88,72.61,-17.73,-39.27,1.12
401,iskateley,100,RU,1577607691,88,18.55,67.68,53.15,27.58
402,mananjary,25,MG,1577607692,50,80.24,-19.16,46.8,4.7
403,candolim,100,IN,1577607692,36,96.1,15.52,73.76,3.76
404,kununurra,77,AU,1577607524,35,100.4,-15.77,128.74,5.82
405,ilulissat,83,GL,1577607692,65,8.6,69.22,-51.1,5.82
406,mahibadhoo,14,MV,1577607693,78,82.2,3.78,72.97,17.02
407,brokopondo,20,SR,1577607670,94,73.4,5.06,-54.98,1.12
408,seymchan,80,RU,1577607693,97,-27.26,62.93,152.39,0.85
409,santa cruz,0,BR,1577607608,88,71.1,-6.22,-36.02,6.13
410,chyhyryn,100,UA,1577607693,92,34.25,49.08,32.67,11.3
411,santiago del estero,100,AR,1577607694,83,75.74,-27.8,-64.26,5.61
412,sorochinsk,99,RU,1577607694,92,20.21,52.43,53.15,7.16
413,galveston,90,US,1577607694,100,57.2,40.58,-86.19,11.41
414,aksu,90,KZ,1577607694,85,21.2,52.04,76.93,6.71
415,leningradskiy,100,RU,1577607695,89,-8.66,69.38,178.42,10.6
416,smirnykh,0,RU,1577607695,77,-3.77,49.74,142.83,4.16
417,mlowo,100,TZ,1577607695,98,61.57,-9.01,33.0,3.13
418,kayalpattinam,90,IN,1577607695,69,82.4,8.57,78.12,11.41
419,general pico,100,AR,1577607695,89,69.48,-35.66,-63.75,5.41
420,tutoia,70,BR,1577607696,89,75.63,-2.76,-42.27,3.53
421,pontes e lacerda,95,BR,1577607696,97,70.79,-15.23,-59.33,3.13
422,oeiras,100,BR,1577607696,56,78.62,-7.01,-42.13,1.92
423,sabha,0,LY,1577607491,61,54.1,27.03,14.43,11.03
424,porto velho,75,BR,1577607697,94,73.4,-8.75,-63.87,6.93
425,beloha,0,MG,1577607537,26,103.12,-25.17,45.06,1.95
426,inverness,20,GB,1577607697,71,55.0,57.48,-4.23,26.4
427,vostok,87,RU,1577607697,88,6.4,46.45,135.83,3.62
428,broome,100,GB,1577607698,93,44.01,52.47,1.45,10.29
429,nizwa,61,OM,1577607698,59,67.14,22.93,57.53,5.39
430,khandyga,100,RU,1577607698,99,-36.8,62.65,135.58,2.19
431,scalea,77,IT,1577607698,71,42.01,39.82,15.79,10.0
432,yagodnoye,64,RU,1577607698,85,-16.64,62.52,149.63,3.27
433,naze,75,NG,1577607699,82,66.2,5.43,7.07,6.78
434,banepa,20,NP,1577607699,25,64.4,27.63,85.52,4.7
435,edd,16,ER,1577607699,50,86.49,13.93,41.69,9.04
436,fonte boa,100,BR,1577607547,98,74.52,-2.51,-66.09,0.38
437,bourg-en-bresse,75,FR,1577607700,86,37.4,46.21,5.22,3.36
438,tilichiki,0,RU,1577607700,69,-15.09,60.47,166.1,7.45
439,palmer,26,AU,1577607530,35,100.99,-34.85,139.16,9.17
440,west odessa,1,US,1577607702,69,41.0,31.84,-102.48,6.93
441,tacuarembo,100,UY,1577607506,80,72.37,-31.73,-55.98,2.84
442,saint-michel-des-saints,81,CA,1577607703,96,18.07,46.68,-73.92,3.89
443,asyut,0,EG,1577607704,53,51.8,27.18,31.19,4.7
444,roma,0,IT,1577607426,55,44.01,41.89,12.48,3.36
445,pereslavl-zalesskiy,99,RU,1577607704,73,21.52,56.74,38.86,3.56
446,saa,0,NG,1577607704,17,81.99,7.32,10.08,7.78
447,xining,100,CN,1577607660,25,25.63,36.62,101.77,7.38
448,acajutla,0,SV,1577607563,94,66.99,13.59,-89.83,7.18
449,tahoua,0,NE,1577607705,28,59.0,14.89,5.26,6.93
450,fengcheng,100,CN,1577607705,96,32.54,40.45,124.07,3.74
451,izhma,100,RU,1577607705,79,16.23,65.01,53.91,12.5
452,nacogdoches,90,US,1577607664,100,57.99,31.6,-94.66,0.31
453,butembo,39,CD,1577607706,43,77.5,0.12,29.29,5.32
454,norwich,100,GB,1577607414,93,44.01,52.63,1.29,10.29
455,hofn,88,IS,1577607706,88,41.4,64.25,-15.21,1.52
456,smoky lake,100,CA,1577607706,75,21.99,54.11,-112.47,3.0
457,mae hong son,20,MM,1577607707,48,84.2,19.3,97.96,1.81
458,paracatu,100,BR,1577607707,99,65.61,-17.22,-46.87,4.74
459,kamenice nad lipou,97,CZ,1577607707,77,30.99,49.3,15.08,3.0
460,chara,20,GR,1577607707,48,41.0,39.42,22.43,17.22
461,xihua,0,CN,1577607708,57,51.64,33.79,114.53,2.98
462,verkhnyaya balkariya,90,RU,1577607545,60,32.0,43.13,43.46,4.47
463,salvador,40,BR,1577607708,74,80.6,-12.98,-38.48,6.93
464,dukat,0,AL,1577607708,31,50.0,40.25,19.57,3.58
465,suna,75,FI,1577607709,95,34.0,60.2,24.68,17.22
466,brewster,1,US,1577607709,92,37.99,41.76,-70.08,3.36
467,lethem,44,GY,1577607709,80,75.83,3.38,-59.8,11.43
468,thinadhoo,100,MV,1577607480,78,82.74,0.53,72.93,10.71
469,rawson,0,AR,1577607710,67,60.46,-43.3,-65.11,0.72
470,aklavik,20,CA,1577607710,73,-31.0,68.22,-135.01,9.86
471,omboue,84,GA,1577607710,78,82.02,-1.57,9.26,2.77
472,bilibino,90,RU,1577607710,57,-15.16,68.06,166.44,2.98
473,tallahassee,90,US,1577607429,100,71.01,30.44,-84.28,5.82
474,xudat,92,AZ,1577607711,84,44.37,41.63,48.68,4.92
475,kipini,1,KE,1577607711,70,86.0,-2.53,40.53,8.19
476,amga,100,RU,1577607711,97,-31.52,60.89,131.98,3.31
477,hauterive,90,CA,1577607711,58,28.4,49.18,-68.27,6.93
478,puerto leguizamo,49,CO,1577607712,96,72.64,-0.19,-74.78,1.1
479,gumdag,87,TM,1577607712,65,54.32,39.2,54.59,6.58
480,abha,20,SA,1577607712,42,64.4,18.22,42.5,16.11
481,nicoya,83,CR,1577607713,1,72.0,10.15,-85.45,5.84
482,la ronge,90,CA,1577607713,85,14.0,55.1,-105.3,9.17
483,deputatskiy,0,RU,1577607714,80,-28.39,69.3,139.9,3.38
484,axim,48,GH,1577607714,61,87.39,4.87,-2.24,1.74
485,genhe,0,CN,1577607715,93,-19.23,50.78,121.52,4.9
486,nemuro,20,JP,1577607715,67,21.2,43.32,145.57,5.82
487,penzance,75,GB,1577607715,93,52.0,50.12,-5.53,16.11
488,pacific grove,20,US,1577607716,86,46.99,36.62,-121.92,5.82
489,vanimo,100,PG,1577607716,76,83.28,-2.67,141.3,11.92
490,sayyan,0,YE,1577607716,22,64.87,15.17,44.32,5.59
491,eureka,40,US,1577607717,100,46.0,40.8,-124.16,8.05
492,katherine,31,AU,1577607717,46,93.2,-14.47,132.26,9.17
493,visby,99,SE,1577607717,80,39.0,57.64,18.3,17.22
494,laksham,0,BD,1577607717,41,77.23,23.25,91.14,7.63
495,waterfoot,75,GB,1577607718,93,48.2,53.69,-2.25,5.82
496,henties bay,61,NA,1577607718,86,62.01,-22.12,14.28,1.99
497,trelew,0,AR,1577607719,46,55.58,-43.25,-65.31,0.96
498,port lincoln,0,AU,1577607458,45,78.84,-34.72,135.86,6.98
499,panguna,40,PG,1577607719,93,70.2,-6.32,155.48,1.95
500,necochea,90,AR,1577607720,1,64.0,-38.55,-58.74,1.99
501,novo aripuana,100,BR,1577607720,99,73.24,-5.12,-60.38,1.86
502,tottori,100,JP,1577607721,57,50.0,35.5,134.23,4.7
503,turinskaya sloboda,82,RU,1577607721,90,2.46,57.62,64.39,9.28
504,neyshabur,76,IR,1577607553,31,52.5,36.21,58.79,0.65
505,yar-sale,100,RU,1577607722,86,17.92,66.83,70.83,19.35
506,prince rupert,75,CA,1577607723,87,44.6,54.32,-130.32,11.41
507,honiara,40,SB,1577607667,79,84.2,-9.43,159.96,2.24
508,ketchikan,40,US,1577607512,87,42.8,55.34,-131.65,5.82
509,xam nua,88,LA,1577607725,92,64.08,20.42,104.04,0.85
510,drumnadrochit,20,GB,1577607725,71,55.0,57.34,-4.48,26.4
511,rock sound,95,BS,1577607725,79,75.33,24.9,-76.2,20.11
512,mabaruma,100,GY,1577607727,98,73.2,8.2,-59.78,2.42
513,frumosu,75,RO,1577607727,92,28.0,47.61,25.65,13.87
514,qaqortoq,100,GL,1577607729,86,26.6,60.72,-46.03,2.24
515,correntina,64,BR,1577607729,98,66.04,-13.34,-44.63,3.49
516,corn island,94,NI,1577607729,83,81.63,12.17,-83.04,15.3
517,tombouctou,0,ML,1577607730,10,71.85,16.77,-3.01,12.71
518,peleduy,84,RU,1577607730,94,-24.12,59.63,112.75,5.32
519,zyryanka,0,RU,1577607730,83,-26.55,65.73,150.89,3.6
520,ust-koksa,100,RU,1577607730,58,14.47,50.27,85.62,6.96
521,miracema do tocantins,100,BR,1577607731,94,72.9,-9.56,-48.4,2.19
522,berlevag,100,NO,1577607731,89,39.27,70.86,29.09,33.15
523,high rock,98,BS,1577607731,81,75.07,26.63,-78.28,19.37
524,tanout,0,NE,1577607731,17,68.88,14.97,8.88,14.52
525,linxia,99,CN,1577607524,45,23.5,35.6,103.21,2.42
526,peniche,0,PT,1577607732,81,55.99,39.36,-9.38,6.93
527,biryusinsk,42,RU,1577607732,86,-12.64,55.96,97.82,8.05
528,san quintin,16,PH,1577607732,83,79.83,17.54,120.52,3.83
529,margate,75,AU,1577607732,72,66.99,-43.03,147.26,17.22
530,boa vista,93,BR,1577607733,88,77.0,2.82,-60.67,6.93
531,porto novo,75,BR,1577607733,83,69.8,-23.68,-45.44,2.24
532,half moon bay,1,US,1577607733,87,52.0,37.46,-122.43,9.33
533,beringovskiy,0,RU,1577607733,90,-8.72,63.05,179.32,19.3
534,pimenta bueno,100,BR,1577607734,98,70.66,-11.68,-61.19,3.58
535,iqaluit,90,CA,1577607440,69,-7.01,63.75,-68.52,20.8
536,zhuhai,20,CN,1577607734,36,14.0,40.71,112.04,17.9
537,maceio,20,BR,1577607734,88,75.2,-9.67,-35.74,2.24
